         195194 function calls (191253 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      704    0.783    0.001    0.783    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.062    0.062    0.062    0.062 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.058    0.058    0.058    0.058 {method 'connect' of '_socket.socket' objects}
     1241    0.009    0.000    0.044    0.000 parser.py:300(parse_starttag)
5144/1266    0.009    0.000    0.017    0.000 element.py:2192(_matches)
        1    0.009    0.009    0.009    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     9331    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
        2    0.007    0.004    0.074    0.037 parser.py:133(goahead)
        1    0.005    0.005    0.005    0.005 {built-in method _socket.getaddrinfo}
    46429    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
     1242    0.004    0.000    0.012    0.000 element.py:1180(__init__)
     1241    0.003    0.000    0.019    0.000 __init__.py:694(handle_starttag)
      943    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     1241    0.003    0.000    0.023    0.000 _htmlparser.py:122(handle_starttag)
     1172    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
      442    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10d878c70}
     1328    0.002    0.000    0.021    0.000 element.py:2096(search_tag)
     1242    0.002    0.000    0.003    0.000 __init__.py:544(pushTag)
     1241    0.002    0.000    0.005    0.000 __init__.py:660(_popToTag)
     4834    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
     2084    0.002    0.000    0.002    0.000 element.py:157(setup)
     3599    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     1241    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     2487    0.002    0.000    0.005    0.000 __init__.py:558(endData)
      798    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1749    0.002    0.000    0.023    0.000 element.py:2159(search)
     4488    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       89    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
    10928    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.001    0.001    1.033    1.033 financial_enhanced.py:23(main)
      704    0.001    0.000    0.788    0.001 socket.py:691(readinto)
     1241    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     5460    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
      704    0.001    0.000    0.786    0.001 ssl.py:1262(recv_into)
     4707    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
     2846    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
       26    0.001    0.000    0.025    0.001 element.py:779(_find_all)
     1241    0.001    0.000    0.010    0.000 __init__.py:735(handle_endtag)
      704    0.001    0.000    0.784    0.001 ssl.py:1120(read)
     5460    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     5590    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1241    0.001    0.000    0.011    0.000 _htmlparser.py:177(handle_endtag)
     5614    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      421    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
     3698    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     5910    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1241    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     5643    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        6    0.001    0.000    0.346    0.058 {method 'read' of '_io.BufferedReader' objects}
     4704    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
      421    0.000    0.000    0.002    0.000 element.py:934(__new__)
3538/3527    0.000    0.000    0.000    0.000 {built-in method builtins.len}
     1242    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1839    0.000    0.000    0.000    0.000 element.py:1906(descendants)
     1856    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
     1753    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     1242    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      704    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      421    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
     1241    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1172    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     2418    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      705    0.000    0.000    0.000    0.000 socket.py:730(readable)
      704    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     1249    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
      699    0.000    0.000    0.000    0.000 element.py:1489(get)
      423    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
     1411    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
     1009    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      944    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
     1322    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        5    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
      425    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
       82    0.000    0.000    0.002    0.000 re.py:288(_compile)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
     1252    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     11/5    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       14    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    1.031    1.031 financial_enhanced.py:9(get_data)
       79    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 connectionpool.py:998(_new_conn)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      133    0.000    0.000    0.000    0.000 types.py:176(__get__)
        6    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      678    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.139    0.139 connection.py:356(connect)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
