         193658 function calls (189629 primitive calls) in 0.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      157    0.485    0.003    0.485    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.034    0.034    0.034    0.034 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.032    0.032    0.032    0.032 {method 'connect' of '_socket.socket' objects}
     1241    0.009    0.000    0.044    0.000 parser.py:300(parse_starttag)
5144/1266    0.009    0.000    0.017    0.000 element.py:2192(_matches)
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     9347    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
        2    0.007    0.004    0.075    0.037 parser.py:133(goahead)
    46822    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
     1242    0.005    0.000    0.012    0.000 element.py:1180(__init__)
       20    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.004    0.004    0.004    0.004 {built-in method _scproxy._get_proxy_settings}
     1241    0.003    0.000    0.020    0.000 __init__.py:694(handle_starttag)
      943    0.003    0.000    0.006    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     1172    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
     1241    0.003    0.000    0.024    0.000 _htmlparser.py:122(handle_starttag)
      444    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10e398c70}
     1328    0.002    0.000    0.020    0.000 element.py:2096(search_tag)
     1242    0.002    0.000    0.003    0.000 __init__.py:544(pushTag)
     1241    0.002    0.000    0.005    0.000 __init__.py:660(_popToTag)
     2084    0.002    0.000    0.002    0.000 element.py:157(setup)
     4834    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
     3602    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     1241    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     2487    0.002    0.000    0.005    0.000 __init__.py:558(endData)
      798    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1749    0.001    0.000    0.023    0.000 element.py:2159(search)
        1    0.001    0.001    0.002    0.002 connectionpool.py:483(close)
     4490    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
    10940    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1241    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     5484    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     4707    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
